1,Application,1,null
2,Augmented Reality,2,1
3,Auto & Vehicles,2,1
4,Beauty,2,1
5,Books & Reference,2,1
6,Business,2,1
7,Comics,2,1
8,Communication,2,1
9,Dating,2,1
10,Daydream,2,1
11,Education,2,1
12,Entertainment,2,1
13,Events,2,1
14,Finance,2,1
15,Food & Drink,2,1
16,Health & Fitness,2,1
17,House & Home,2,1
18,Libraries & Demo,2,1
19,Lifestyle,2,1
20,Maps & Navigation,2,1
21,Medical,2,1
22,Music & Audio,2,1
23,News & Magazines,2,1
24,Parenting,2,1
25,Personalization,2,1
26,Photography,2,1
27,Productivity,2,1
28,Shopping,2,1
29,Social,2,1
30,Sports,2,1
31,Tools,2,1
32,Travel & Local,2,1
33,Video Players & Editors,2,1
34,Wear OS,2,1
35,Weather,2,1
36,Services,1,null
37,Education,2,37
37,Government,2,37
38,Marketing/Advertising,2,37
39,Product Development,2,37
40,Scientific Research,2,37
41,Treatment,2,37
42,Analytics,2,37